entry_id,student_id,task_id,topic,difficulty,correct,task_text,solution
34,6,283,последовательности,medium,правильно,"В геометрической прогрессии b1 = 2, q = 3. Найдите b6.",
35,2,73,проценты,medium,неправильно,Товар стоил 2150 тг. На него сделали скидку 13%. Найдите цену товара после скидки.,
36,10,27,арифметика,medium,неправильно,"У Вася было 12 тетрадей, 5 он(а) раздал(а). Сколько осталось?",
37,5,236,площадь/объём,medium,правильно,Найдите площадь круга радиуса 3 см.,
38,3,133,неравенства,medium,правильно,Решите неравенство: x^2 ≤ 9.,
39,4,361,функции,medium,правильно,"Определите, является ли функция f(x) = x^2 - 4 чётной, нечётной или ни той ни другой.",
40,5,389,матрицы,medium,правильно,"Найдите произведение матриц A и B, если A = [[1, -1], [0, 2]], B = [[2, 1], [3, 4]].",
41,10,6,дроби,hard,правильно,У Катя было 16 тетрадей. Катя отдал(а) 1/5 всех тетрадей. Сколько тетрадей осталось у Катя?,
42,7,49,арифметика,hard,правильно,Магазин продал 34 кг сахара в понедельник и 28 кг во вторник. Сколько всего килограммов сахара продали?,
43,1,176,тригонометрия,easy,правильно,Вычислите sin 30°.,
44,2,42,арифметика,medium,неправильно,"У Петя было 27 конфет, 6 он(а) раздал(а). Сколько осталось?",
45,10,384,матрицы,hard,неправильно,"Найдите обратную матрицу для A = [[1, 2], [3, 4]].",
46,7,218,вероятности,hard,неправильно,В коробке 3 красных и 5 синих шариков. Какова вероятность вытянуть красный шар?,
47,5,416,пределы,easy,неправильно,Найдите предел lim_{x→∞} (5x^2 - x + 1)/(2x^2 + 7).,
48,7,334,интегралы,hard,правильно,Найдите интеграл ∫ cos(9x) dx.,
49,9,143,неравенства,hard,неправильно,Решите неравенство: |x - 2| ≥ 1.,
50,5,392,матрицы,medium,неправильно,"Найдите произведение матриц A и B, если A = [[1, -1], [0, 2]], B = [[2, 1], [3, 4]].",
51,9,148,неравенства,medium,неправильно,Решите неравенство: x^2 ≤ 36.,
52,6,161,логарифмы,medium,неправильно,Решите уравнение: log_4 x = 5.,
53,10,357,функции,easy,неправильно,Найдите область определения функции f(x) = 1/(x-3).,
54,8,318,производные,hard,правильно,Найдите производную функции f(x) = sin(18x).,
55,1,329,интегралы,easy,правильно,Вычислите неопределённый интеграл ∫ x^1 dx.,
56,7,103,уравнения,hard,правильно,Решите уравнение: x^2 = 36.,
57,6,298,последовательности,medium,неправильно,"В геометрической прогрессии b1 = 2, q = 3. Найдите b6.",
58,8,55,проценты,medium,правильно,Товар стоил 1250 тг. На него сделали скидку 10%. Найдите цену товара после скидки.,
59,10,94,геометрия,easy,правильно,Найдите периметр прямоугольника со сторонами 8 см и 5 см.,
60,1,296,последовательности,hard,неправильно,Последовательность задана формулой an = 2n + 1. Найдите a15.,
61,1,310,производные,easy,правильно,Найдите производную функции f(x) = x^3.,
62,8,193,тригонометрия,hard,неправильно,"Найдите все значения x в промежутке [0°; 360°], при которых sin x = √2/2.",
63,4,421,пределы,hard,правильно,Найдите предел lim_{x→3} (x^2 - 9)/(x - 3).,
64,3,353,функции,hard,правильно,Найдите нули функции f(x) = x^2 - 5x + 6.,
65,8,319,производные,easy,неправильно,Найдите производную функции f(x) = x^3.,
66,5,288,последовательности,easy,правильно,"В арифметической прогрессии a1 = 3, d = 5. Найдите a10.",
67,6,201,вероятности,easy,неправильно,Какова вероятность выпадения четного числа при броске игрального кубика?,
68,1,345,интегралы,medium,неправильно,Вычислите определённый интеграл ∫ от 0 до 1 (20x) dx.,
69,8,346,интегралы,hard,неправильно,Найдите интеграл ∫ cos(21x) dx.,
70,3,347,интегралы,easy,правильно,Вычислите неопределённый интеграл ∫ x^3 dx.,
71,5,21,дроби,hard,неправильно,Найдите сумму дробей 1/4 и 2/4.,
72,6,285,последовательности,easy,неправильно,"В арифметической прогрессии a1 = 3, d = 5. Найдите a10.",
73,9,265,комбинаторика,hard,правильно,В комнате находятся 6 человек. Каждый пожал руку каждому по одному разу. Сколько всего было рукопожатий?,
74,8,108,уравнения,medium,правильно,Решите квадратное уравнение: x^2 - 6x + 5 = 0.,
75,4,126,неравенства,easy,неправильно,Решите неравенство: 3x + 6 > 18.,
76,7,192,тригонометрия,medium,правильно,Вычислите cos 60°.,
77,7,322,производные,easy,неправильно,Найдите производную функции f(x) = x^3.,
78,1,221,вероятности,hard,правильно,В коробке 3 красных и 5 синих шариков. Какова вероятность вытянуть красный шар?,
79,8,328,интегралы,hard,неправильно,Найдите интеграл ∫ cos(3x) dx.,
80,7,152,логарифмы,medium,правильно,Решите уравнение: log_4 x = 4.,
81,3,227,площадь/объём,medium,правильно,Найдите площадь круга радиуса 4 см.,
82,7,213,вероятности,easy,неправильно,Какова вероятность выпадения четного числа при броске игрального кубика?,
83,9,222,вероятности,easy,неправильно,Какова вероятность выпадения четного числа при броске игрального кубика?,
84,3,32,арифметика,easy,правильно,Найдите значение выражения 17 + 3 - 1.,
85,10,60,проценты,easy,неправильно,Товар стоил 1500 тг. Его цену увеличили на 15%. Какой стала новая цена?,
86,10,96,геометрия,hard,неправильно,"Найдите площадь треугольника с основанием 10 см и высотой 5 см, опущенной на это основание.",
87,1,22,дроби,easy,правильно,У Катя было 32 тетрадей. Катя отдал(а) 2/5 всех тетрадей. Сколько тетрадей осталось у Катя?,
88,1,115,уравнения,hard,неправильно,Решите уравнение: x^2 = 9.,
89,9,80,геометрия,medium,неправильно,Найдите площадь квадрата со стороной 4 см.,
90,2,320,производные,medium,неправильно,Найдите производную функции f(x) = 22x + 23.,
91,7,190,тригонометрия,hard,правильно,"Найдите все значения x в промежутке [0°; 360°], при которых sin x = √2/2.",
92,4,191,тригонометрия,easy,правильно,Вычислите sin 30°.,
93,4,56,проценты,hard,неправильно,Товар стоил 1300 тг. Его цену увеличили на 11%. Какой стала новая цена?,
94,8,83,геометрия,medium,правильно,Найдите площадь квадрата со стороной 7 см.,
95,1,183,тригонометрия,medium,неправильно,Вычислите cos 60°.,
96,3,158,логарифмы,medium,неправильно,Решите уравнение: log_4 x = 2.,
97,1,92,геометрия,medium,неправильно,Найдите площадь квадрата со стороной 6 см.,
98,1,102,уравнения,medium,правильно,Решите квадратное уравнение: x^2 - 7x + 12 = 0.,
99,5,365,функции,hard,правильно,Найдите нули функции f(x) = x^2 - 5x + 6.,
100,1,289,последовательности,medium,правильно,"В геометрической прогрессии b1 = 2, q = 3. Найдите b6.",
101,6,139,неравенства,medium,правильно,Решите неравенство: x^2 ≤ 25.,
102,2,397,матрицы,easy,неправильно,"Вычислите детерминант матрицы [[3, 4], [2, 1]].",
103,10,425,пределы,easy,правильно,Найдите предел lim_{x→∞} (5x^2 - x + 1)/(2x^2 + 7).,
104,4,53,проценты,hard,правильно,Товар стоил 1150 тг. На него сделали скидку 8%. Найдите цену товара после скидки.,
105,3,264,комбинаторика,medium,правильно,Сколько различных способов выбрать 4 учеников из 9?,
106,4,293,последовательности,hard,неправильно,Последовательность задана формулой an = 2n + 1. Найдите a15.,
107,7,375,функции,easy,правильно,Найдите область определения функции f(x) = 1/(x-3).,
108,2,219,вероятности,easy,неправильно,Какова вероятность выпадения четного числа при броске игрального кубика?,
109,7,1,дроби,easy,правильно,Найдите сумму дробей 2/4 и 3/4.,
110,3,242,площадь/объём,medium,неправильно,Найдите площадь круга радиуса 4 см.,
111,3,275,комбинаторика,easy,правильно,Сколькими способами можно переставить 3 разных книг на полке?,
112,7,348,интегралы,medium,правильно,Вычислите определённый интеграл ∫ от 0 до 4 (23x) dx.,
113,1,402,пределы,medium,неправильно,Найдите предел lim_{x→0} (sin x)/x.,
114,6,364,функции,medium,неправильно,"Определите, является ли функция f(x) = x^2 - 4 чётной, нечётной или ни той ни другой.",
115,8,367,функции,medium,правильно,"Определите, является ли функция f(x) = x^2 - 4 чётной, нечётной или ни той ни другой.",
116,2,135,неравенства,easy,правильно,Решите неравенство: 2x + 8 > 18.,
117,4,149,неравенства,hard,неправильно,Решите неравенство: |x - 2| ≥ 1.,
118,6,253,комбинаторика,hard,неправильно,В комнате находятся 6 человек. Каждый пожал руку каждому по одному разу. Сколько всего было рукопожатий?,
119,6,352,функции,medium,неправильно,"Определите, является ли функция f(x) = x^2 - 4 чётной, нечётной или ни той ни другой.",
120,9,259,комбинаторика,hard,неправильно,В комнате находятся 6 человек. Каждый пожал руку каждому по одному разу. Сколько всего было рукопожатий?,
121,3,7,дроби,easy,правильно,Найдите сумму дробей 2/6 и 3/6.,
122,1,174,логарифмы,hard,правильно,Упростите выражение log_2 8 + log_2 4.,
123,6,363,функции,easy,правильно,Найдите область определения функции f(x) = 1/(x-3).,
124,9,163,логарифмы,easy,правильно,Вычислите log_3 27.,
125,7,132,неравенства,easy,неправильно,Решите неравенство: 4x + 5 > 29.,
126,1,145,неравенства,medium,правильно,Решите неравенство: x^2 ≤ 9.,
127,3,151,логарифмы,easy,неправильно,Вычислите log_3 27.,
128,10,394,матрицы,easy,правильно,"Вычислите детерминант матрицы [[3, 4], [2, 1]].",
129,6,200,тригонометрия,easy,правильно,Вычислите sin 30°.,
130,3,292,последовательности,medium,правильно,"В геометрической прогрессии b1 = 2, q = 3. Найдите b6.",
131,3,380,матрицы,medium,правильно,"Найдите произведение матриц A и B, если A = [[1, -1], [0, 2]], B = [[2, 1], [3, 4]].",
132,2,233,площадь/объём,medium,правильно,Найдите площадь круга радиуса 5 см.,
133,1,276,последовательности,easy,неправильно,"В арифметической прогрессии a1 = 3, d = 5. Найдите a10.",
134,5,173,логарифмы,medium,правильно,Решите уравнение: log_4 x = 5.,
135,2,262,комбинаторика,hard,неправильно,В комнате находятся 6 человек. Каждый пожал руку каждому по одному разу. Сколько всего было рукопожатий?,
136,4,371,функции,hard,правильно,Найдите нули функции f(x) = x^2 - 5x + 6.,
137,2,179,тригонометрия,easy,правильно,Вычислите sin 30°.,
138,3,240,площадь/объём,hard,правильно,Найдите объём куба с ребром 5 см.,
139,6,180,тригонометрия,medium,правильно,Вычислите cos 60°.,
140,2,39,арифметика,medium,правильно,"У Катя было 24 тетрадей, 3 он(а) раздал(а). Сколько осталось?",
141,3,205,вероятности,medium,правильно,"При подбрасывании двух монет какова вероятность, что выпадут две решки?",
142,4,243,площадь/объём,hard,неправильно,Найдите объём куба с ребром 4 см.,
143,8,13,дроби,easy,правильно,Найдите сумму дробей 2/4 и 3/4.,
144,9,31,арифметика,hard,неправильно,Магазин продал 16 кг сахара в понедельник и 7 кг во вторник. Сколько всего килограммов сахара продали?,
145,6,281,последовательности,hard,неправильно,Последовательность задана формулой an = 2n + 1. Найдите a15.,
146,2,186,тригонометрия,medium,правильно,Вычислите cos 60°.,
147,3,278,последовательности,hard,неправильно,Последовательность задана формулой an = 2n + 1. Найдите a15.,
148,1,414,пределы,medium,правильно,Найдите предел lim_{x→0} (sin x)/x.,
149,10,314,производные,medium,правильно,Найдите производную функции f(x) = 16x + 17.,
150,9,203,вероятности,hard,правильно,В коробке 3 красных и 5 синих шариков. Какова вероятность вытянуть красный шар?,
151,5,106,уравнения,hard,правильно,Решите уравнение: x^2 = 16.,
152,8,382,матрицы,easy,неправильно,"Вычислите детерминант матрицы [[3, 4], [2, 1]].",
153,1,172,логарифмы,easy,неправильно,Вычислите log_3 81.,
154,7,237,площадь/объём,hard,правильно,Найдите объём куба с ребром 2 см.,
155,2,20,дроби,medium,правильно,У Саша было 30 яблок. Саша отдал(а) 3/3 всех яблок. Сколько яблок осталось у Саша?,
156,4,30,арифметика,medium,неправильно,"У Дима было 15 конфет, 8 он(а) раздал(а). Сколько осталось?",
157,1,79,геометрия,easy,правильно,Найдите периметр прямоугольника со сторонами 7 см и 8 см.,
158,5,387,матрицы,hard,правильно,"Найдите обратную матрицу для A = [[1, 2], [3, 4]].",
159,3,317,производные,medium,правильно,Найдите производную функции f(x) = 19x + 20.,
160,5,235,площадь/объём,easy,неправильно,Найдите площадь прямоугольника со сторонами 7 м и 7 м.,
161,10,395,матрицы,medium,неправильно,"Найдите произведение матриц A и B, если A = [[1, -1], [0, 2]], B = [[2, 1], [3, 4]].",
162,5,72,проценты,easy,неправильно,Товар стоил 2100 тг. Его цену увеличили на 12%. Какой стала новая цена?,
163,7,95,геометрия,medium,неправильно,Найдите площадь квадрата со стороной 4 см.,
164,6,204,вероятности,easy,правильно,Какова вероятность выпадения четного числа при броске игрального кубика?,
165,9,412,пределы,hard,правильно,Найдите предел lim_{x→3} (x^2 - 9)/(x - 3).,
166,5,36,арифметика,medium,неправильно,"У Аня было 21 книг, 7 он(а) раздал(а). Сколько осталось?",
167,7,129,неравенства,easy,правильно,Решите неравенство: 6x + 9 > 27.,
168,8,75,проценты,easy,правильно,Товар стоил 2250 тг. На него сделали скидку 15%. Найдите цену товара после скидки.,
169,2,54,проценты,easy,правильно,Товар стоил 1200 тг. Его цену увеличили на 9%. Какой стала новая цена?,
170,10,23,дроби,medium,правильно,Найдите сумму дробей 3/6 и 4/6.,
171,1,232,площадь/объём,easy,неправильно,Найдите площадь прямоугольника со сторонами 4 м и 4 м.,
172,10,386,матрицы,medium,неправильно,"Найдите произведение матриц A и B, если A = [[1, -1], [0, 2]], B = [[2, 1], [3, 4]].",
173,4,415,пределы,hard,правильно,Найдите предел lim_{x→3} (x^2 - 9)/(x - 3).,
174,1,303,производные,hard,правильно,Найдите производную функции f(x) = sin(3x).,
175,4,164,логарифмы,medium,правильно,Решите уравнение: log_4 x = 4.,
176,6,189,тригонометрия,medium,правильно,Вычислите cos 60°.,
177,3,91,геометрия,easy,правильно,Найдите периметр прямоугольника со сторонами 5 см и 8 см.,
178,8,339,интегралы,medium,правильно,Вычислите определённый интеграл ∫ от 0 до 5 (14x) dx.,
179,8,376,матрицы,easy,правильно,"Вычислите детерминант матрицы [[3, 4], [2, 1]].",
180,1,422,пределы,easy,правильно,Найдите предел lim_{x→∞} (5x^2 - x + 1)/(2x^2 + 7).,
181,10,358,функции,medium,неправильно,"Определите, является ли функция f(x) = x^2 - 4 чётной, нечётной или ни той ни другой.",
182,8,217,вероятности,medium,неправильно,"При подбрасывании двух монет какова вероятность, что выпадут две решки?",
183,10,408,пределы,medium,правильно,Найдите предел lim_{x→0} (sin x)/x.,
184,3,210,вероятности,easy,правильно,Какова вероятность выпадения четного числа при броске игрального кубика?,
185,7,5,дроби,medium,правильно,Найдите сумму дробей 3/4 и 4/4.,
186,10,324,производные,hard,неправильно,Найдите производную функции f(x) = sin(24x).,
187,1,393,матрицы,hard,правильно,"Найдите обратную матрицу для A = [[1, 2], [3, 4]].",
188,1,202,вероятности,medium,неправильно,"При подбрасывании двух монет какова вероятность, что выпадут две решки?",
189,2,178,тригонометрия,hard,правильно,"Найдите все значения x в промежутке [0°; 360°], при которых sin x = √2/2.",
190,7,144,неравенства,easy,правильно,Решите неравенство: 6x + 10 > 46.,
191,6,411,пределы,medium,правильно,Найдите предел lim_{x→0} (sin x)/x.,
192,6,153,логарифмы,hard,неправильно,Упростите выражение log_2 8 + log_2 4.,
193,7,81,геометрия,hard,правильно,"Найдите площадь треугольника с основанием 11 см и высотой 5 см, опущенной на это основание.",
194,7,118,уравнения,hard,правильно,Решите уравнение: x^2 = 36.,
195,1,157,логарифмы,easy,правильно,Вычислите log_3 243.,
196,10,379,матрицы,easy,правильно,"Вычислите детерминант матрицы [[3, 4], [2, 1]].",
197,3,241,площадь/объём,easy,неправильно,Найдите площадь прямоугольника со сторонами 7 м и 6 м.,
198,6,331,интегралы,hard,правильно,Найдите интеграл ∫ cos(6x) dx.,
199,8,105,уравнения,medium,неправильно,Решите квадратное уравнение: x^2 - 4x + 4 = 0.,
200,6,62,проценты,hard,неправильно,Товар стоил 1600 тг. Его цену увеличили на 17%. Какой стала новая цена?,
201,6,109,уравнения,hard,правильно,Решите уравнение: x^2 = 49.,
202,5,128,неравенства,hard,неправильно,Решите неравенство: |x - 5| ≥ 4.,
203,9,82,геометрия,easy,правильно,Найдите периметр прямоугольника со сторонами 3 см и 5 см.,
204,5,419,пределы,easy,правильно,Найдите предел lim_{x→∞} (5x^2 - x + 1)/(2x^2 + 7).,
205,1,267,комбинаторика,medium,правильно,Сколько различных способов выбрать 4 учеников из 7?,
206,10,45,арифметика,medium,правильно,"У Саша было 30 яблок, 9 он(а) раздал(а). Сколько осталось?",
207,1,165,логарифмы,hard,правильно,Упростите выражение log_2 8 + log_2 4.,
208,1,277,последовательности,medium,неправильно,"В геометрической прогрессии b1 = 2, q = 3. Найдите b6.",
209,3,90,геометрия,hard,неправильно,"Найдите площадь треугольника с основанием 12 см и высотой 4 см, опущенной на это основание.",
210,6,405,пределы,medium,правильно,Найдите предел lim_{x→0} (sin x)/x.,
211,8,400,матрицы,easy,неправильно,"Вычислите детерминант матрицы [[3, 4], [2, 1]].",
212,4,377,матрицы,medium,неправильно,"Найдите произведение матриц A и B, если A = [[1, -1], [0, 2]], B = [[2, 1], [3, 4]].",
213,1,250,площадь/объём,easy,правильно,Найдите площадь прямоугольника со сторонами 4 м и 8 м.,
214,6,321,производные,hard,неправильно,Найдите производную функции f(x) = sin(21x).,
215,10,167,логарифмы,medium,правильно,Решите уравнение: log_4 x = 3.,
216,3,211,вероятности,medium,правильно,"При подбрасывании двух монет какова вероятность, что выпадут две решки?",
217,4,168,логарифмы,hard,правильно,Упростите выражение log_2 8 + log_2 4.,
218,2,224,вероятности,hard,правильно,В коробке 3 красных и 5 синих шариков. Какова вероятность вытянуть красный шар?,
219,6,372,функции,easy,правильно,Найдите область определения функции f(x) = 1/(x-3).,
220,7,8,дроби,medium,правильно,У Маша было 18 яблок. Маша отдал(а) 3/3 всех яблок. Сколько яблок осталось у Маша?,
221,3,299,последовательности,hard,неправильно,Последовательность задана формулой an = 2n + 1. Найдите a15.,
222,5,116,уравнения,easy,неправильно,Решите уравнение: 3x + 7 = 16.,
223,9,342,интегралы,medium,правильно,Вычислите определённый интеграл ∫ от 0 до 3 (17x) dx.,
224,2,261,комбинаторика,medium,правильно,Сколько различных способов выбрать 4 учеников из 6?,
225,7,424,пределы,hard,неправильно,Найдите предел lim_{x→3} (x^2 - 9)/(x - 3).,
226,3,407,пределы,easy,правильно,Найдите предел lim_{x→∞} (5x^2 - x + 1)/(2x^2 + 7).,
227,9,137,неравенства,hard,правильно,Решите неравенство: |x - 2| ≥ 1.,
228,8,246,площадь/объём,hard,неправильно,Найдите объём куба с ребром 3 см.,
229,10,333,интегралы,medium,неправильно,Вычислите определённый интеграл ∫ от 0 до 4 (8x) dx.,
230,3,311,производные,medium,неправильно,Найдите производную функции f(x) = 13x + 14.,
231,6,356,функции,hard,правильно,Найдите нули функции f(x) = x^2 - 5x + 6.,
232,1,146,неравенства,hard,правильно,Решите неравенство: |x - 5| ≥ 4.,
233,3,294,последовательности,easy,неправильно,"В арифметической прогрессии a1 = 3, d = 5. Найдите a10.",
234,8,86,геометрия,medium,неправильно,Найдите площадь квадрата со стороной 5 см.,
235,4,373,функции,medium,правильно,"Определите, является ли функция f(x) = x^2 - 4 чётной, нечётной или ни той ни другой.",
236,8,50,арифметика,easy,неправильно,Найдите значение выражения 35 + 7 - 5.,
237,7,38,арифметика,easy,правильно,Найдите значение выражения 23 + 9 - 7.,
238,7,35,арифметика,easy,неправильно,Найдите значение выражения 20 + 6 - 4.,
239,10,355,функции,medium,правильно,"Определите, является ли функция f(x) = x^2 - 4 чётной, нечётной или ни той ни другой.",
240,8,220,вероятности,medium,неправильно,"При подбрасывании двух монет какова вероятность, что выпадут две решки?",
241,6,24,дроби,hard,неправильно,У Маша было 34 яблок. Маша отдал(а) 1/3 всех яблок. Сколько яблок осталось у Маша?,
242,3,336,интегралы,medium,правильно,Вычислите определённый интеграл ∫ от 0 до 2 (11x) dx.,
243,9,391,матрицы,easy,правильно,"Вычислите детерминант матрицы [[3, 4], [2, 1]].",
244,3,284,последовательности,hard,неправильно,Последовательность задана формулой an = 2n + 1. Найдите a15.,
245,10,229,площадь/объём,easy,правильно,Найдите площадь прямоугольника со сторонами 7 м и 8 м.,
246,4,11,дроби,medium,правильно,Найдите сумму дробей 3/6 и 4/6.,
247,4,67,проценты,medium,правильно,Товар стоил 1850 тг. На него сделали скидку 7%. Найдите цену товара после скидки.,
248,7,29,арифметика,easy,правильно,Найдите значение выражения 14 + 7 - 5.,
249,3,208,вероятности,medium,правильно,"При подбрасывании двух монет какова вероятность, что выпадут две решки?",
250,1,360,функции,easy,неправильно,Найдите область определения функции f(x) = 1/(x-3).,
251,1,125,уравнения,easy,правильно,Решите уравнение: 2x + 9 = 17.,
252,9,70,проценты,medium,правильно,Товар стоил 2000 тг. Его цену увеличили на 10%. Какой стала новая цена?,
253,8,162,логарифмы,hard,правильно,Упростите выражение log_2 8 + log_2 4.,
254,9,230,площадь/объём,medium,правильно,Найдите площадь круга радиуса 2 см.,
255,6,195,тригонометрия,medium,неправильно,Вычислите cos 60°.,
256,5,138,неравенства,easy,правильно,Решите неравенство: 5x + 11 > 31.,
257,6,398,матрицы,medium,правильно,"Найдите произведение матриц A и B, если A = [[1, -1], [0, 2]], B = [[2, 1], [3, 4]].",
258,5,113,уравнения,easy,правильно,Решите уравнение: 5x + 11 = 31.,
259,2,101,уравнения,easy,правильно,Решите уравнение: 3x + 6 = 18.,
260,8,286,последовательности,medium,правильно,"В геометрической прогрессии b1 = 2, q = 3. Найдите b6.",
261,2,325,производные,easy,неправильно,Найдите производную функции f(x) = x^3.,
262,2,337,интегралы,hard,неправильно,Найдите интеграл ∫ cos(12x) dx.,
263,1,111,уравнения,medium,правильно,Решите квадратное уравнение: x^2 - 7x + 12 = 0.,
264,10,188,тригонометрия,easy,правильно,Вычислите sin 30°.,
265,3,123,уравнения,medium,правильно,Решите квадратное уравнение: x^2 - 9x + 20 = 0.,
266,7,274,комбинаторика,hard,правильно,В комнате находятся 6 человек. Каждый пожал руку каждому по одному разу. Сколько всего было рукопожатий?,
267,5,93,геометрия,hard,правильно,"Найдите площадь треугольника с основанием 7 см и высотой 7 см, опущенной на это основание.",
268,1,396,матрицы,hard,правильно,"Найдите обратную матрицу для A = [[1, 2], [3, 4]].",
269,8,196,тригонометрия,hard,правильно,"Найдите все значения x в промежутке [0°; 360°], при которых sin x = √2/2.",
270,2,63,проценты,easy,неправильно,Товар стоил 1650 тг. На него сделали скидку 18%. Найдите цену товара после скидки.,
271,3,409,пределы,hard,неправильно,Найдите предел lim_{x→3} (x^2 - 9)/(x - 3).,
272,8,175,логарифмы,easy,неправильно,Вычислите log_3 27.,
273,2,350,интегралы,easy,неправильно,Вычислите неопределённый интеграл ∫ x^2 dx.,
274,5,46,арифметика,hard,правильно,Магазин продал 31 кг сахара в понедельник и 28 кг во вторник. Сколько всего килограммов сахара продали?,
275,5,369,функции,easy,правильно,Найдите область определения функции f(x) = 1/(x-3).,
276,4,131,неравенства,hard,правильно,Решите неравенство: |x - 2| ≥ 1.,
277,3,51,проценты,easy,правильно,Товар стоил 1050 тг. На него сделали скидку 6%. Найдите цену товара после скидки.,
278,7,98,геометрия,medium,неправильно,Найдите площадь квадрата со стороной 7 см.,
279,4,198,тригонометрия,medium,неправильно,Вычислите cos 60°.,
280,1,216,вероятности,easy,правильно,Какова вероятность выпадения четного числа при броске игрального кубика?,
281,9,239,площадь/объём,medium,неправильно,Найдите площадь круга радиуса 6 см.,
282,4,307,производные,easy,правильно,Найдите производную функции f(x) = x^3.,
283,7,420,пределы,medium,неправильно,Найдите предел lim_{x→0} (sin x)/x.,
284,9,338,интегралы,easy,неправильно,Вычислите неопределённый интеграл ∫ x^2 dx.,
285,10,64,проценты,medium,правильно,Товар стоил 1700 тг. Его цену увеличили на 19%. Какой стала новая цена?,
286,9,300,последовательности,easy,неправильно,"В арифметической прогрессии a1 = 3, d = 5. Найдите a10.",
287,2,170,логарифмы,medium,неправильно,Решите уравнение: log_4 x = 2.,
288,8,248,площадь/объём,medium,неправильно,Найдите площадь круга радиуса 5 см.,
289,3,258,комбинаторика,medium,неправильно,Сколько различных способов выбрать 4 учеников из 8?,
290,4,252,комбинаторика,medium,правильно,Сколько различных способов выбрать 4 учеников из 7?,
291,5,270,комбинаторика,medium,правильно,Сколько различных способов выбрать 4 учеников из 5?,
292,7,309,производные,hard,правильно,Найдите производную функции f(x) = sin(9x).,
293,10,417,пределы,medium,неправильно,Найдите предел lim_{x→0} (sin x)/x.,
294,8,154,логарифмы,easy,правильно,Вычислите log_3 9.,
295,2,378,матрицы,hard,неправильно,"Найдите обратную матрицу для A = [[1, 2], [3, 4]].",
